Date,Close/Last,Volume,Open,High,Low
06/25/2021,$116.53 ,6712802,$117.45 ,$117.93 ,$116.53 
06/24/2021,$117.24 ,6772228,$116.72 ,$117.67 ,$116.27 
06/23/2021,$116.05 ,8913726,$116.20 ,$117.42 ,$115.81 
06/22/2021,$114.33 ,11792380,$113.50 ,$114.49 ,$112.01 
06/21/2021,$114.14 ,11116210,$115.38 ,$115.40 ,$113.02 
06/18/2021,$115.79 ,12532780,$117.51 ,$117.89 ,$115.21 
06/17/2021,$119.12 ,7608083,$117.68 ,$120.24 ,$117.59 
06/16/2021,$118.02 ,8059377,$119.55 ,$119.90 ,$117.50 
06/15/2021,$119.45 ,8196928,$120.35 ,$122 ,$119.27 
06/14/2021,$120.99 ,7610338,$118.55 ,$121 ,$118.46 
06/11/2021,$118.25 ,6036625,$118.29 ,$118.42 ,$117.16 
06/10/2021,$118.24 ,8566639,$117.04 ,$118.85 ,$116.63 
06/09/2021,$117.13 ,6401585,$116 ,$117.65 ,$115.97 
06/08/2021,$115.92 ,11564750,$117.55 ,$117.68 ,$115.06 
06/07/2021,$118.22 ,6266010,$118.14 ,$118.75 ,$117.57 
06/04/2021,$119.51 ,5352051,$118.23 ,$119.85 ,$118.05 
06/03/2021,$116.82 ,4912170,$118.05 ,$118.26 ,$116.46 
06/02/2021,$118.95 ,5383361,$118.90 ,$119.45 ,$117.92 
06/01/2021,$118.51 ,7596056,$119.71 ,$120.04 ,$117.43 
05/28/2021,$117.36 ,5391713,$116.30 ,$117.84 ,$115.95 
05/27/2021,$115.77 ,6513706,$116 ,$116.53 ,$115 
05/26/2021,$116 ,6605133,$114 ,$116 ,$114 
05/25/2021,$114.28 ,5331665,$114.85 ,$114.94 ,$113.60 
05/24/2021,$113.63 ,6650678,$112.26 ,$114.54 ,$112.12 
05/21/2021,$111.85 ,5979369,$114 ,$114 ,$111.69 
05/20/2021,$113.28 ,6442494,$112.39 ,$113.72 ,$112.10 
05/19/2021,$112.40 ,7280450,$108.50 ,$112.49 ,$108 
05/18/2021,$110.84 ,7476605,$113 ,$113.48 ,$110.74 
05/17/2021,$109.80 ,10676420,$109.07 ,$110.03 ,$107.87 
05/14/2021,$112.46 ,8425191,$110.61 ,$112.83 ,$110.24 
05/13/2021,$108.75 ,10561430,$109.36 ,$111.43 ,$107.90 
05/12/2021,$108.21 ,15058920,$109.35 ,$110.09 ,$108.06 
05/11/2021,$112.85 ,10007720,$109.73 ,$112.99 ,$109.13 
05/10/2021,$112.31 ,12281220,$114.98 ,$115.38 ,$112.23 
05/07/2021,$116.83 ,9614315,$118.40 ,$119.42 ,$116.05 
05/06/2021,$117 ,8581653,$115.30 ,$117.64 ,$114.46 
05/05/2021,$115.38 ,4174138,$116 ,$116.49 ,$114.87 
05/04/2021,$115.36 ,9638315,$115 ,$115.82 ,$113.74 
05/03/2021,$115.94 ,10229530,$117.47 ,$117.55 ,$115.73 
04/30/2021,$116.74 ,7950744,$118.01 ,$118.18 ,$116.65 
04/29/2021,$119.10 ,8831780,$120.72 ,$120.83 ,$117.61 
04/28/2021,$119.66 ,6476501,$120 ,$120.42 ,$118.73 
04/27/2021,$121.27 ,5491795,$121.50 ,$121.65 ,$119.89 
04/26/2021,$121.52 ,8444012,$120 ,$121.54 ,$119.40 
04/23/2021,$118.64 ,8386671,$116.58 ,$118.72 ,$115.93 
04/22/2021,$115.32 ,7411787,$117.50 ,$117.50 ,$114.41 
04/21/2021,$117.40 ,8472229,$114.50 ,$117.49 ,$113.77 
04/20/2021,$114.95 ,9299195,$116.05 ,$116.78 ,$114.55 
04/19/2021,$115.40 ,12630310,$118 ,$118.88 ,$115.20 
04/16/2021,$118.84 ,9512086,$119.19 ,$120.60 ,$117.85 
04/15/2021,$118.35 ,18709050,$121.70 ,$122 ,$116.56 
04/14/2021,$120.84 ,9521863,$121.99 ,$122.43 ,$120.50 
04/13/2021,$121.27 ,8384755,$122.40 ,$122.90 ,$120.35 
04/12/2021,$120.90 ,9868416,$122.21 ,$122.46 ,$119.24 
04/09/2021,$122.80 ,8315187,$122.75 ,$123.44 ,$121.70 
04/08/2021,$123.43 ,10226710,$121.38 ,$123.82 ,$121.38 
04/07/2021,$119.89 ,11193230,$122.44 ,$122.61 ,$119.84 
04/06/2021,$122.44 ,13042310,$124 ,$124.01 ,$121.54 
04/05/2021,$124.50 ,14113890,$127.07 ,$127.40 ,$122.68 
04/01/2021,$124.80 ,17904010,$122.81 ,$124.88 ,$121.64 
03/31/2021,$118.28 ,9806546,$115.79 ,$118.36 ,$115.56 
03/30/2021,$115.07 ,8206164,$115.28 ,$116.09 ,$114.29 
03/29/2021,$114.39 ,10863640,$116.55 ,$116.76 ,$112.39 
03/26/2021,$116.56 ,12910910,$112 ,$116.70 ,$111.20 
03/25/2021,$110.45 ,16772400,$108 ,$112.75 ,$107.89 
03/24/2021,$108.96 ,24196070,$112.47 ,$114.69 ,$108.85 
03/23/2021,$114.89 ,8977391,$116.10 ,$116.75 ,$114.62 
03/22/2021,$117.18 ,9376422,$114.79 ,$118.33 ,$114.79 
03/19/2021,$113.63 ,11535950,$114.38 ,$114.89 ,$113.21 
03/18/2021,$114.50 ,10299940,$118 ,$118.33 ,$114.10 
03/17/2021,$118.76 ,9869563,$117.75 ,$119.52 ,$115.39 
03/16/2021,$119.35 ,10793370,$119.72 ,$121.25 ,$118.10 
03/15/2021,$119.08 ,8946293,$118.65 ,$119.11 ,$116.71 
03/12/2021,$118.30 ,8171001,$119 ,$119 ,$117.28 
03/11/2021,$120.58 ,15091600,$118.24 ,$120.80 ,$117.07 
03/10/2021,$113.83 ,15240260,$117.80 ,$118.03 ,$113.41 
03/09/2021,$116.38 ,17717110,$117.07 ,$118.40 ,$115.33 
03/08/2021,$113.93 ,17246950,$120.54 ,$121 ,$113.70 
03/05/2021,$120.80 ,17448730,$120.90 ,$121.30 ,$115.38 
03/04/2021,$115.59 ,24454250,$121.95 ,$123.15 ,$113.49 
03/03/2021,$122.89 ,10660310,$126.72 ,$127.76 ,$122.71 
03/02/2021,$126 ,8274533,$128.43 ,$128.52 ,$126 
03/01/2021,$129.13 ,9714884,$129.63 ,$130.30 ,$127.24 
02/26/2021,$125.94 ,17280950,$125.43 ,$127.39 ,$122.83 
02/25/2021,$126 ,13581190,$131.52 ,$131.54 ,$125.72 
02/24/2021,$132.30 ,12782880,$129.51 ,$132.38 ,$127.68 
02/23/2021,$129.10 ,18444730,$129.10 ,$131.74 ,$125.38 
02/22/2021,$133.57 ,10363780,$133.59 ,$135.28 ,$133.18 
02/19/2021,$136.66 ,10771930,$136.15 ,$137.95 ,$135.72 
02/18/2021,$134.63 ,11614580,$134.85 ,$135.88 ,$133.40 
02/17/2021,$136.27 ,12373650,$139.21 ,$139.64 ,$136.10 
02/16/2021,$140.05 ,11833590,$141.61 ,$142.20 ,$139.42 
02/12/2021,$138.06 ,11114110,$138.92 ,$139.81 ,$137.16 
02/11/2021,$139.16 ,12347930,$135.40 ,$139.23 ,$134.06 
02/10/2021,$133.69 ,12196270,$134.12 ,$136 ,$132.51 
02/09/2021,$132.68 ,7929117,$133.98 ,$134.41 ,$131.75 
02/08/2021,$132.55 ,11159970,$128.70 ,$133.25 ,$128.70 
02/05/2021,$127.78 ,6226765,$128.79 ,$128.88 ,$126.70 
02/04/2021,$128.15 ,7445110,$127.50 ,$128.20 ,$125.97 
02/03/2021,$127.50 ,9676640,$129 ,$129.14 ,$126.06 
02/02/2021,$128.44 ,9302368,$129.47 ,$130.25 ,$127.45 
02/01/2021,$126.66 ,10179940,$124.54 ,$126.85 ,$123.38 
01/29/2021,$121.52 ,15169180,$124 ,$124.36 ,$120.55 
01/28/2021,$125.83 ,14148050,$124.50 ,$127.58 ,$123.58 
01/27/2021,$121.74 ,16732720,$124.95 ,$125.10 ,$121.50 
01/26/2021,$126.65 ,17084610,$129.05 ,$129.32 ,$126.25 
01/25/2021,$130.52 ,20469350,$131.83 ,$132.17 ,$127.35 
01/22/2021,$129.14 ,19163230,$130.04 ,$131.25 ,$128.81 
01/21/2021,$134.16 ,15609870,$133.25 ,$135.40 ,$132.34 
01/20/2021,$130.64 ,17360740,$135.19 ,$136.13 ,$130.10 
01/19/2021,$131.30 ,20443820,$130.59 ,$134.05 ,$128.44 
01/15/2021,$125.23 ,17343060,$128.47 ,$128.54 ,$123.21 
01/14/2021,$126.45 ,37125420,$123.45 ,$134.65 ,$121.67 
01/13/2021,$119.23 ,20650480,$124.40 ,$124.80 ,$118 
01/12/2021,$123 ,14163170,$125.16 ,$125.20 ,$121.68 
01/11/2021,$122.60 ,12032650,$119.74 ,$123.60 ,$118.80 
01/08/2021,$118.69 ,18976770,$125.91 ,$126.29 ,$116.98 
01/07/2021,$121.43 ,13556090,$119.34 ,$122.94 ,$117.59 
01/06/2021,$115.61 ,10609280,$113.85 ,$116.39 ,$112.55 
01/05/2021,$112.77 ,10583570,$112.41 ,$114.95 ,$112.01 
01/04/2021,$111.70 ,11262140,$111.47 ,$114.10 ,$110.45 
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,